index	sentence1	sentence2	label
42	Do you come here often?	Every once in a while.	entailment
43	Do you like museums?	I never usually do	contradiction
44	Do you like concerts?	They hurt my ears.	contradiction
45	Was your move job related?	I moved so I'd have a shorter commute.	entailment
46	Did you guys have a productive week?	I didn't get all that I wanted to get done.	contradiction
47	Does your car have electronic fuel injection?	No, there is not an electronic fuel injection in my car.	contradiction
48	Do you drive?	I have a BMW.	entailment
49	Does the engine fire on turning the key?	No, the engine doesn't turn when you turn the key to ignition 	contradiction
50	When you turn the key, does the starter crank?	Yes, the starter makes a crank sound when turned	entailment
51	Did you go to University?	I graduated last year.	entailment
52	Do you hear the ticking sound only when you take a turn or when the road curves?	The ticking sounds happens even when I am not taking a turn and driving on a curved road.	contradiction
53	Are you a fan of Drake's music?	You could say that.	entailment
54	Have you visited New York before?	I visited with some friends in college.	entailment
55	Did you move back?	I bought a house two blocks from my old elementary school.	entailment
56	Please plug in the AC power adapter to your laptop. Does it boot now?	My laptop still won't boot, even after plugging the adapter into the wall.	contradiction
57	Is there a lot of work you have to take home?	I finished everything today.	contradiction
58	Do you get the live BIOS splash screen just after you start your computer?	The BIOS screen is not coming up after I turn the computer on.  This has been happening all the time recently.	contradiction
59	Have you ever listened to Utada Hikaru?	I've never heard of them	contradiction
60	Do you have a date night all planned out?	Going to dinner and a movie with my boyfriend.	entailment
61	Is it too expensive?	Not for my high salary.	contradiction
62	Can the laptop access the internet if you connect it directly to the router with an Ethernet cable?	My laptop still can't connect.	contradiction
63	When you connect the charger to your laptop, is the power connector loose?	I don't think the connector is loose.	contradiction
64	Does the job offer a better benefit package?	Anything is an upgrade from where I am at.	entailment
65	Have you tried that Thai place around the corner?	I went there last week.	entailment
66	Can you handle the cost of living there?	We both have high salaries.	entailment
67	Please tell me if your laptop battery is overheating?	It isn't getting too hot.	contradiction
68	Should we meet up for lunch on Monday?	Sound like a plan	entailment
69	Have you kept in touch with any of our other neighbors?	I wasn't really interested in that.	contradiction
70	Have you improved your English skills since childhood?	A teacher helped with my elocution.	entailment
71	Did you visit any flats you're interested in yet?	I have seen a few	entailment
72	Shall we try out that new gastopub this weekend?	I like that idea.	entailment
73	Have you been downtown yet?	I have been stuck in the burbs.	contradiction
74	Do you like living it here?	It seems nice so far	entailment
75	When you apply the brakes, does it pull the steering wheel?	There is a bit of a pull when I step on the brake.  I have not noticed this until just recently.	entailment
76	Do you have a working rescue CD?	There is no working rescue CD in my possession.	contradiction
77	Are you a music fan?	I like Taylor Swift.	entailment
78	Do you have kids?	They're in the car.	entailment
79	Does the LCD diaply blackout at random?	LCD screen stays lit always.	contradiction
80	Want to go out on Saturday night for a meal ?	I'm saving my money right now.	contradiction
81	Have you lived in the building long?	We just moved in last week.	contradiction
82	Does it have a view?	I can see the Empire State Building from the living room.	entailment
83	You have any kids?	I don't right now	contradiction
84	Is your LCD's inverter working properly?	The LCD inverter is not working well.	contradiction
85	Do you still live in that neighborhood?	I've lived in the same place for the last 16 years.	entailment
86	Do you live in town?	I'm only here visiting my family.	contradiction
87	Want to get fast food?	I'm on a diet.	contradiction
88	Do you hear the brakes scrape or grind?	I was just driving this morning and the noises were not of scraping and grinding.	contradiction
89	Is your BIOS set to hibernate the laptop in case of low battery?	I do have the BIOS set like that.	entailment
90	Do you see tiny dots or lines through the LCD display?	No, they are not showing up.	contradiction
91	Are you willing to do any contract work?	I'm open to it.	entailment
92	Are you a manager of people?	I manage a small team at work.	entailment
93	Would you like to go out for a drink?	I'm really tired.	contradiction
94	Have you thoroughly thought this through?	It has been on my mind for some time now.	entailment
95	Would you like to go see live music?	Music is the best when it's live.	entailment
96	Are there any noises when you brake?	I hear them loud enough. This happens every time I stop the car.	entailment
97	Is your laptop display rotated 90 degrees or upside-down?	The monitor is not displaying at an unusual angle.	contradiction
98	How about a collection by various authors?	Actually, that sounds pretty neat.	entailment
99	Is it better than your old job?	My old job was more stressful.	entailment
100	Have you looked into the housing costs?	I'm aware of the expense.	entailment
101	do you want to do something for free?	Free floats my boat.	entailment
102	do you like doing solo activities?	I'd rather play on a team.	contradiction
103	Is the emergency parking brake working properly?	I need your help to check to see if it is working reliably. 	neutral
104	Will you be the head of your department?	I'll be the number two honcho.	contradiction
105	Would you like to borrow Robinson Crusoe?	I read it in school and didn't like it.	contradiction
106	Have all the electrical accessories failed?	This is not the case - some of the electrical accessories are still functioning.	contradiction
107	Are you new to this country?	I've been here a few months	entailment
108	Are your kids still living with you?	They are both in college.	contradiction
109	Are you an avid reader?	I read a book every week.	entailment
110	Is your laptop's fan running when it overheats?	The laptop fan hardly ever turns on at all.	contradiction
111	Are you into the outdoors?	I usually stay inside.	contradiction
112	Are you new in the neighborhood?	I lived here once before, 10 years ago.	contradiction
113	Does the laptop boot after removing all external devices such as external keyboard, mouse and printer?	After removing devices such as the keyboard, mouse and printer, the laptop cannot boot up.	contradiction
114	Do you have any weekend plans?	We have the kids dance recital.	entailment
115	Is the emergency parking brake working properly?	It is not functioning as expected. 	contradiction
116	Are you looking to earn more money?	Always.	entailment
117	Do you get the live BIOS splash screen just after you start your computer?	I saw a BIOS splash screen after starting the computer.	entailment
118	Does the LCD diaply blackout at random?	My LCD often blacks out randomly. It stops displaying anything for a short time.	entailment
119	Do you like to watch movies?	I'm a big fan of the cinema.	entailment
120	Would you like to go out for dinner?	I would like to stay in tonight.	contradiction
121	Would you be happy to take a pay cut?	Not really	contradiction
122	When you turn ON the laptop, do you hear a series of beeps?	I don't hear any beeps when I turn on the laptop.	contradiction
123	Do you have any plans tonight?	I'm packing for vacation.	entailment
124	Does the laptop boot after removing all external devices such as external keyboard, mouse and printer?	It doesn't boot up if the external devices are removed.	contradiction
125	Do you see at least one network in your list of available networks?	There is a network listed as available.	entailment
126	Are you interested in sightseeing tomorrow?	I want to go on a walking tour.	entailment
127	Have you talked to anyone else from our childhood?	I haven't spoken to anyone else.	contradiction
128	Do you get the live BIOS splash screen just after you start your computer?	What is a BIOS splash screen and what exactly it look like?	neutral
129	Is your laptop fan running all the time when you use the laptop?	The fan isn't always on.	contradiction
130	Have you read the new Game of Thrones books?	I'm not a fan of that show	contradiction
131	Do you still live at the same neighborhood?	I live in a house down the street from where we used to live.	entailment
132	Would you like to properly catch up some time?	How about dinner on Thursday?	entailment
133	Is your LCD's inverter working properly?	I'm not sure what a multimeter is.	neutral
134	Was your flight on time?	We arrived early.	entailment
135	Are you living here in town?	I have a place here.	entailment
136	Are you connected to your local library?	I don't have a library ticket.	contradiction
137	Did you enjoy eating vegetables growing up as a kid?	I always ate everything.	entailment
138	Did you like the last place you lived?	It wasn't my favourite place	contradiction
139	Do you like heavy metal?	I love a bit of heavy metal.	entailment
140	Does the AC/DC power adapter output measure up to the rated volatge?	They are the same. The voltage measurement matches the one printed on the adapter.	entailment
141	Would you like to go to the vegan restaurant?	I would prefer someplace with meat.	contradiction
142	Do you watch many movies?	My Netflix queue is too long!	entailment
143	do you want to go swimming?	I didn't bring a swimsuit.	contradiction
144	Do you plan on seeing that new movie?	I think I would like to see it	entailment
145	Does your laptop boot using a Windows DVD?	The laptop is able to boot using the Windows DVD. Everything seems to be working as it's supposed to.	entailment
146	Have you heard about the new outdoor music festival?	Which one?	neutral
147	Do you work in town?	My job requires a lot of travel.	contradiction
148	Would you want a personal office?	I love my own space.	entailment
149	Does one or more wheels drag too much?	How do I know if the wheels are dragging or hard to spin?	neutral
150	Please tell me if your laptop battery is overheating?	It doesn't feel hot.	contradiction
151	When you connect the charger to your laptop, is the power connector loose?	The charger snugly fits in the power connector.	contradiction
152	You don't happen to play any instruments, do you?	I've played the piano since I was six.	entailment
153	Did you have a good day?	My day's been pretty good.	entailment
154	Does your car have electronic fuel injection?	I checked the fuel injection system. I found no electricity going to said system.	entailment
155	Are mysteries something you are interested in?	I read them often.	entailment
156	Do you like working on your own or on a team?	I hate working no matter what.	contradiction
157	Do you enjoy water sports?	Swimming is my hobby.	entailment
158	Do you like working in groups?	I work better alone.	contradiction
159	Do you get paid time off?	I wish, but they don't offer it.	contradiction
160	Do you work too much?	I have a good balance.	contradiction
161	Please plug in the AC power adapter to your laptop. Does it boot now?	It does not turn on.	contradiction
162	Are you going home now?	I'm on my way to the grocery store.	contradiction
163	Are mysteries something you are interested in?	I prefer romantic comedies.	contradiction
164	Did you see the last exhibit at the Met?	I haven't, but I love art!	contradiction
165	Are you into burger and fries?	They're my fave.	entailment
166	Is the radiator cap steaming and hissing?	I can't hear any hissing coming from the radiator cap. I don't see any steam either.	contradiction
167	Are you looking forward to a fun weekend?	I definitely am	entailment
168	Is there a spark from the ignition coil?	No, there's no spark coming out of it.	contradiction
169	Does the car stop when you apply the brakes?	Yes, I can definitely get the car to stop by applying the brakes.	entailment
170	Are you a manager?	I wish!	contradiction
171	Would you like to have dinner?	I am ravenous.	entailment
172	Do you listen to new music every Friday?	I try to listen to new music every day.	entailment
173	Would you like to try something you've never eaten before?	I am always open to trying new things.	entailment
174	Do you like African music?	I never listen to it.	contradiction
175	Can we buy a rock CD to listen to together?	that would be nice	entailment
176	Do you have a bicycle?	It was stolen last night.	contradiction
177	Does the engine fire right up but stall as soon as you release the key back to the RUN position?	It didnot stall when the key got put in the RUN position.	contradiction
178	Have you eaten Oven Fired Pizza?	I'd love to try it.	contradiction
179	Are you visiting your parents this weekend?	They are away on holiday at the moment.	contradiction
180	Is there an open circuit with your car's key in 'run/ON' position?	Placing it like that doesn't cause an open circuit.	contradiction
181	Are the car's battery connectors clean and good?	The battery connectors are very clean.	entailment
182	Want to go get a drink somewhere?	I would like that	entailment
183	Do you mind heights?	I like to look down on the city at night	contradiction
184	Are you tired of working here?	I need something new.	entailment
185	Do you have a place to stay?	I should have a place	entailment
186	Would you live there again if you had the chance?	If I had the chance, I would consider it.	entailment
187	Do you play other instruments besides this one?	I play the drums	entailment
188	Do you want to hang out?	I'm busy.	contradiction
189	Is the coolant flowing through the radiator?	No, I don't know how.  I can't check if it has any flow.	neutral
190	Do you have any kids?	My kids are all grown up now.	entailment
191	Can you check if a fusible link has blown?	It has not blown.	contradiction
192	Have you travelled internationally?	I've traveled all over the world.	entailment
193	Do you like modern buildings?	I love the architecture of today's cities.	entailment
194	Have you read the new Game of Thrones books?	I've only watched the TV series.	contradiction
195	Do you want to grab a bite to eat?	I am pretty hungry right now.	entailment
196	How about we go get a drink together?	I know a great bar we can hit up.	entailment
197	Is it a pay increase?	It will be	entailment
198	Is a blotch or stain growing on your LCD?	My LCD does not have a growing stain on it.	contradiction
199	Would the job pay better?	The salary is lower, actually.	contradiction
200	Do you work from home?	As much as I can.	entailment
201	Is there steaming or leak from the cooling system?	I don't see anything from it. 	contradiction
202	Does it have a nice view?	The views are of the street.	contradiction
203	Do you want to stay in tonight?	If you like	entailment
204	Would you like working in a factory?	I'm not a fan of monotony.	contradiction
205	Do you get the live BIOS splash screen just after you start your computer?	What is the BIOS splash screen? I have never seen it before.	neutral
206	Are you from here?	I was born in Europe.	contradiction
207	Are you okay to sleep on the sofa tonight?	I'd rather sleep on the floor.	contradiction
208	Do you work in tech?	I am an artistic director.	contradiction
209	Are you into country music?	I wish you knew me better than you do.	neutral
210	Does the car make ticking sounds while coasting in neutral?	There are no ticking sounds noted when coasting in neutral.	contradiction
211	Do you want to catch up over breakfast?	I would love to chat and have a full English.	entailment
212	Does your laptop shut down automatically when it overheats?	When the laptop overheats, it has to be shut down manually. It does not automatically shut itself down.	contradiction
213	Are the brakes making squealing noise when you apply them?	There are squeals from the brakes when applying them. 	entailment
214	Does the laptop's LCD image get scrambled over time, like showing bits of overlayed images?	The LCD does not appear to be getting scrambled.	contradiction
215	Do you work in the area?	I worl close by	entailment
216	Did your laptop hard drive start making clunking noises recently?	Yes, the laptop makes clunking noises.	entailment
217	Would you get a housemate?	I'd rather try living on my own.	contradiction
218	Do you get the live BIOS splash screen just after you start your computer?	No, the BIOS splash screen isn't displayed.  After starting my computer I don't see it.	contradiction
219	Do you play video games?	I haven't since I was a kid.	contradiction
220	Do you have to work a lot of overtime?	I don't have that opportunity.	contradiction
221	Enjoy reading books that make you laugh?	David Sedaris is my favorite writer.	entailment
222	Are you staying in tonight?	I was planning on going out.	contradiction
223	Will this be the first time for you living in NY?	I've never been there before.	entailment
224	Is New York a nice place?	The Big Apple is a fabulous place.	entailment
225	do you have kids?	My wife is pregnant with our second child.	entailment
226	Your laptop has a power LED, which should turn ON when an external power supply is connected. When you plug in the power supply, does the power LED turn ON?	I do not see the power LED light illuminated when the laptop is plugged in.	contradiction
227	I have tickets to an EDM music fest, does that sound like something you would want to do	I've been nursing a headache all week, so it doesn't sound like a good idea.	contradiction
228	Are you looking for an older building?	I prefer more recently built properties.	contradiction
229	Are you wanting to move into the capital?	I've been dreaming of it for years.	entailment
230	You wanna hit a country-western bar tonight?	if you want to	entailment
231	Do you like eating out?	I probably eat out more than I should.	entailment
232	When you turn the key, does the starter crank?	It is not cranking. If I turn the key, nothing happens.	contradiction
233	Is there an open circuit with your car's key in 'run/ON' position?	There is an open circuit.  When I place the key in run or ON, the car does have an open circuit.	entailment
234	Is it close to work?	it is only 10 minutes away	entailment
235	Is there a open circuit in the ignition switch?	I haven't noticed an open circuit in the ignition switch.	contradiction
236	Do you like living in a flat?	I'd rather live in a house.	contradiction
237	Do you see tiny dots or lines through the LCD display?	I have never noticed any spots or lines.	contradiction
238	Does you car have a engine temperature gauge on the dashboard?	There is a temp gauge on my car's dashboard.	entailment
239	Are you working a night shift?	I haven't worked a night shift in years.	contradiction
240	Do you like to dine in?	Delivery is my first choice.	contradiction
241	Do you have kids?	I don't want kids.	contradiction
242	Did you recently change your car tires?	I put new tires on my car 2 years ago.  So not that recent.	contradiction
243	Do you  have any kids?	Our son is away at college	entailment
244	Are you a jazz buff?	I have all of Myles Davis' albums.	entailment
245	Will it be expensive?	It is slightly more expensive	entailment
246	Does the car stall while warm?	No, the car does not stall while still warm.	contradiction
247	Does the laptop power up without the battery in it?	unfortunately, that is not happening without a battery. 	contradiction
248	Have you seen my new place before?	I'm excited to take a look around.	contradiction
249	Have you been to any music festivals?	Not since my college days.	entailment
250	Does the laptop BIOS show that the hard drive is installed?	Definitely showing up as installed.	entailment
251	Can you eat meat?	I always eat meat	entailment
252	Do you like non fiction?	I prefer fiction.	contradiction
253	Do you like crime thriller books?	I want to read them all.	entailment
254	Do you make any music?	I fool around on drums with friends.	entailment
255	Are you going to the supermarket ?	I went yesterday.	contradiction
256	Do you like reading biographies?	Some people led really fascinating lives.	entailment
257	Would you be interested in a book club?	That's boring	contradiction
258	Do you get the live BIOS splash screen just after you start your computer?	The computer doesn't show a BIOS screen.	contradiction
259	Does the ticking noise frequency drop when the car shifts gear?	Is there a reason for checking if the ticking noise frequency does down when I change the gears?	neutral
260	I have narrowed down your problem. Your laptop's LCD display is malfunctioning. Please use an external monitor, until you get the display fixed.	I decided to fix it and now everything is fine, thanks!	neutral
261	When you start the laptop, do you see the splash screen with the Windows logo?	The logo does appear.	entailment
262	Does your car have electronic fuel injection?	It's not.	contradiction
263	Is the brake warning light ON in the dashboard?	Yes, I can see that it is ON	entailment
264	Have you been to the cinema lately?	I tend to wait until I can stream a movie. I am much more comfortable watching at home.	contradiction
265	Do you go by your first name?	Everyone knows me by my middle name.	contradiction
266	Are you on a budget?	Absolutely!	entailment
267	Do you get a 'No Operating System' message when you start the laptop?	The 'No Operating System' message isn't shown upon boot up.	contradiction
268	Have a nice house yet?	I think I have	entailment
269	Have you ever bought a romance novel?	My mother-in-law reads those books, so I could get them from her if I want them.	contradiction
270	Is your laptop fan running all the time when you use the laptop?	I can't hear it running all the time. It runs sometimes in between.	contradiction
271	Do you eat raw fish?	I can't eat fish raw.	contradiction
272	Are you able to boot your Windows in Safe Mode?	I can't boot in Safe Mode.	contradiction
273	Are you facing an intermittent connection?	The network connection is not good at all and it's very random.	entailment
274	Did you get all your projects finished?	They extended the deadline on the one, so I'll finish next week.	contradiction
275	Would you like to go ice skating?	I forgot my skates at home.	contradiction
276	Do you get your books from the library?	I borrow ebooks from the library.	entailment
277	Did you move from another city?	We moved here from the countryside.	contradiction
278	Can you check if your car battery is charging properly?	Yes, the car battery charges up to the right level.	entailment
279	Does the fan turn on when the engine warms up?	The fan is not coming on.	contradiction
280	Are you going straight home after work?	We have a therapy appointment.	contradiction
281	Do you like to go to high-end place?	I only eat McDonald's.	contradiction
282	Do you like Korean food?	I have never tried Korean.	neutral
283	Do you like rap?	Odd Future is my favorite group.	entailment
284	Do you enjoy nonfiction content?	Biographies are always enjoyable.	entailment
285	Does your laptop boot using a Windows DVD?	Negative on that. That's not working.	contradiction
286	Is a blotch or stain growing on your LCD?	There are none on it.	contradiction
287	Do you get the live BIOS splash screen just after you start your computer?	What is the BIOS splash screen? I have never seen it before.	neutral
288	Are you meeting everyone at the bar?	I can't be around alcohol.	contradiction
289	Were you born in this country?	I was indeed	entailment
290	Would you like to do a cookout sometime?	I prefer ordering take-out.	contradiction
291	Your laptop has a power LED, which should turn ON when an external power supply is connected. When you plug in the power supply, does the power LED turn ON?	I do not see the power LED light illuminated when the laptop is plugged in.	contradiction
292	Do you live here by yourself?	I have a goldfish.	entailment
293	Is there an open circuit with your car's key in 'run/ON' position?	I have an open circuit. I checked for it after I put my key in the ignition and switched it to ON.	entailment
294	Would you like to learn more about history?	I prefer other subjects	contradiction
295	Have you thought about your commute to work?	Commutes are easy there.	entailment
296	Your car has an exhaust leak. Please check the exhaust pipeline for leaks and seal them. This should solve your problem.	Is it okay if I continue to drive my vehicle with an exhaust leak?	neutral
297	Do you get the live BIOS splash screen just after you start your computer?	The BIOS screen appears when starting it up.	entailment
298	Do you like sushi?	I've never tried Asian food.	neutral
299	Do you have to travel?	It won't be a requirement in the new job.	contradiction
300	Do you like burgers?	I love junk food	entailment
301	Are you into trendy places?	Not really, they don't stay interesting for long.	contradiction
302	Are you offering the asking price?	I'm going to see if I can talk the price down a bit.	contradiction
303	Are there any noises when you brake?	No, the brakes don't make any kind of noises.	contradiction
304	Does the LCD display have a tinted screen or uneven illumitation?	There is no unusual odd tint or uneven illumination.	contradiction
305	Do you see tiny dots or lines through the LCD display?	I am not seeing any bad pixels on my LCD. There are no odd lines there either.	contradiction
306	Does one or more wheels drag too much?	How do I check if they're dragging like that?	neutral
307	Are both your laptop and router working on the 802.11g protocols?	That isn't so at the moment.	contradiction
308	Do you want to make dinner at my house?	Cooking with you would be fun.	entailment
309	Do you like reading scary books?	Stephen King novels are awesome.	entailment
310	Shall we head back to mine?	I think we should	entailment
311	Do you like classical music?	I'm not a fan	contradiction
312	Have you been up to anything new?	I started painting my bedroom.	entailment
313	Are you able to connect to the network if the security in your router is disabled?	How would I go about turning off the router security?	neutral
314	Will you be joining any book clubs?	I like reading books at my own pace.	contradiction
315	Do you feel passionately about your position or your industry?	I do indeed	entailment
316	Are the brakes making squealing noise when you apply them?	They are not making any squealing noise when pressing.	contradiction
317	Do you hear the ticking sound only when you take a turn or when the road curves?	A ticking sound can also be detected not only when there is a turn or when the road curves, but also when the car is in motion.	contradiction
318	Are you new to town?	Last week was the first time I'd been here.	entailment
319	Are you sad that you have to leave?	I'm out of here!	contradiction
320	Does any of your tires have a loose hub cap?	They all appear to be very tight.  I just checked them and they aren't loose.	contradiction
321	Are you going to live alone?	I'm moving in with my sister.	contradiction
322	Do you work with people?	It is unavoidable at this point.	entailment
323	When you start the laptop, do you see the splash screen with the Windows logo?	There is a splash screen with the windows logo when I start the laptop.	entailment
324	Have you been to Torchys?	I want to check them out.	contradiction
325	Can the laptop access the internet if you connect it directly to the router with an Ethernet cable?	I can get online when I connect it that way.	entailment
326	Do you like jazz music?	I think I should have been born in the Jazz Age.	entailment
327	Does your work require creativity?	I'm always trying to come up with new ideas.	entailment
328	Have you been to the local park?	I walk my dog there every day.	entailment
329	Can the laptop access the internet if you connect it directly to the router with an Ethernet cable?	I have it plugged in directly and it's still not working.	contradiction
330	I have a great collection of books, want to borrow any of them?	I often keep the books I borrow.	neutral
331	When you connect your hard drive to another laptop, does it work?	The hard drive doesn't work when connected to another laptop. The hard drive seems to be corrupted.	contradiction
332	Your laptop has a power LED, which should turn ON when an external power supply is connected. When you plug in the power supply, does the power LED turn ON?	Yes, it lit up when connected. This happens when the external power supply is connected.	entailment
333	Do you still work at the supermarket?	I retired.	contradiction
334	Do you like all fresh ingredients?	The more fresh, the better.	entailment
335	Have you lived in New York before?	This would be my first time.	contradiction
336	Does the ticking noise frequency drop when the car shifts gear?	How is it useful to know if the ticking noise frequency drops as the car shifts gear?	neutral
337	Do you want to go out to a restaurant?	Do you have anything quick we can eat at home?	contradiction
338	Are you going anywhere tonight?	Only if I feel up to it.	neutral
339	Is there steaming or leak from the cooling system?	The cooling system is not releasing any steam or leaking. 	contradiction
340	Do you like going out for movies?	I love going to the cinema.	entailment
341	Do you like Jane Austen?	Pride and Prejudice is a favourite.	entailment
342	Is the network router active and in range?	Yes, it is. It's both of those things.	entailment
343	Do you have a single lamp failure? It could be a headlight, a taillight, or a blinker.	When I try to use my high beams, one lamp does not work.	entailment
344	Do you listen to a lot of music?	I have it on all the time.	entailment
345	Do you want something sweet?	I prefer savoury.	contradiction
346	Want to go hunting on the weekend?	I'm not a fan of shooting animals.	contradiction
347	Does the car stall while warm?	Yes, the car does stall when it is warm.	entailment
348	Do you know what time you have to leave to head back home yet?	I need to leave by 10.	entailment
349	Please tell me if your laptop battery is overheating?	The battery is not hot when I go to touch it.  The battery feels maybe light warm at most.	contradiction
350	Does the laptop's LCD image get scrambled over time, like showing bits of overlayed images?	It's looking very jumbled. The image is all over the place.	entailment
351	Have you brought enough luggage?	I travel with everything I own.	entailment
352	Does the car make ticking sound only when it is cold?	It is only when my car is hot that I notice the ticking sounds.	contradiction
353	Is a view important?	I like to have a waterfront view.	entailment
354	Want to extend this conversation over dinner tonight?	Let's do that.	entailment
355	Do you enjoy jazz?	I'm very impressed by it.	entailment
356	Have you ever been to a Taylor Swift's concert?	I've never seen her live.	contradiction
357	Have you read Fifty Shades of Gray?	I read them a while back	entailment
358	Is your fascination with reading about being self employed still your dream?	I'm no longer interested in being self employed.	contradiction
359	Does the car stop when you apply the brakes?	It stops when I step on them.	entailment
360	Is there steaming or leak from the cooling system?	I see that it is leaking fluid.	entailment
361	Are you still married?	10 years in July.	entailment
362	Do you mind if we walk to the bar?	A walk would be just fine.	contradiction
363	When you turn ON the laptop, do you hear a series of beeps?	I do not hear a sequence of beeps when the power button on my laptop is pressed.	contradiction
364	Are you into books?	I love reading.	entailment
365	Would you consider taking a pay cut if it meant you'd enjoy your job more?	I need money more than I need to enjoy my job.	contradiction
366	Do you like suspense novels?	I read suspense and romance novels when I can.	entailment
367	Do you prefer horror?	I hate being scared.	contradiction
368	Long week?	I had a couple of days off actually.	contradiction
369	Have you ever been to a rock concert?	Back when I was in college I went to a lot of them.	entailment
370	Are you allergic to any seafood?	I don't believe so	contradiction
371	Do you enjoy sports events?	I love football, cricket, rugby and athletics.o	entailment
372	Are you going to watch Star Wars at the movies?	The Avengers movies are more interesting.	contradiction
373	Are you able to connect to the network if the security in your router is disabled?	Disabling the security doesn't seem to be working.	contradiction
374	Did you attend the latest Madonna concert?	I'm not a Madonna fan.	contradiction
375	Do you have a favorite band?	I like multiple bands so I don't have a favorite.	contradiction
376	Are you looking at an expensive apartment?	I wish I could afford something really nice.	contradiction
377	Does your laptop show the wireless network you are trying to connect to?	I can't see it at all.	contradiction
378	Have you heard about the museums.	Some of them	entailment
379	Have you been to any jazz shows?	I used to play in a jazz band in high school.	neutral
380	Have you been eating alright?	I always try to	entailment
381	Can you smell burning or see smoke coming out of the laptop?	There's no smoke coming from my laptop.	contradiction
382	Do you see the splash screen if you connect your laptop to an external working monitor?	There is a splash screen when I connect the external monitor to the laptop.	entailment
383	Are you an outdoorsy type?	I would say I am	entailment
384	Do you enjoy water sports?	I'm a keen wild swimmer.	entailment
385	Can you hear the CPU fan or the hard drive spin?	It is completely quiet.	contradiction
386	Do you want to go to a sit-down restaurant?	I enjoy a long dinner with friends.	entailment
387	Do you enjoy outdoor activities?	My favorite thing is lying on the couch.	contradiction
388	Was the travel tiring?	I couldn't get a seat on the train.	entailment
389	Does the engine fire on turning the key?	There is no sound coming from the engine.	contradiction
390	Have you seen the old neighborhood lately?	It seems a bit dilapidated.	entailment
391	Will you work on the weekends?	I have to work overtime to afford the rent.	entailment
392	Did you get the pool key?	Where's the pool?	contradiction
393	Do you like spicy food?	Spice hurts my tongue.	contradiction
394	Are you new to the city?	I am from here.	contradiction
395	Do you like all fresh ingredients?	I enjoy most of them.	entailment
396	Does the car stop when you apply the brakes?	Applying the brakes seems to stop the car well.	entailment
397	Do you still eat burgers?	I do like the odd burger	entailment
398	Are you into classic rock?	I love it.	entailment
399	Is the antifreeze level in your overflow tank up to the mark?	The antifreeze level in my overflow tank does hit the mark. 	entailment
