index	sentence1	sentence2	label
145	When the power supply is connected to the laptop, does the power LED flicker?	I just connected the power supply. The light is flickering.	entailment
146	Want to grab a drink?	I'd love a martini.	entailment
147	Were you in attendance at the recent music festival?	I don't go to those things.	contradiction
148	Are you excited to go home?	I have been counting down until home time	entailment
149	Do you like the neighborhood?	I'm very keen on the neighborhood.	entailment
150	Did you stop anywhere on the way?	I came straight here.	contradiction
151	Can you play football?	I've never been taught to play football.	contradiction
152	When you turn the key, does the starter crank?	I didn't know I was supposed to check for a spark reaching the plug.	neutral
153	Do you like eating out?	I probably eat out more than I should.	entailment
154	Does your Windows boot and display the desktop?	I am seeing the desktop when I boot up the windows.	entailment
155	You have a DC power jack failure in your laptop. Please get it replaced.	What is the best way to replace a DC power jack in a laptop?	neutral
156	Do you get the live BIOS splash screen just after you start your computer?	What exactly is the BIOS splash screen and what does the screen look like?	neutral
157	Does your Windows boot and display the desktop?	It is displayed after startup.	entailment
158	Please plug in the AC power adapter to your laptop. Does it boot now?	No booting happens when I do that.	contradiction
159	Do you like guitars?	I like to play as much as I can.	entailment
160	Do you have any special plans for the weekend?	I am in a contest with my dog.	entailment
161	Is the display very dim and barely visible?	I can see the screen quite well when I look at it.	entailment
162	Do you see coolant drips on the ground from overflow reservoir?	No, there is no liquid dripping on the ground. I do not see anything overflowing.	contradiction
163	do you like salads?	Only if I feel like eating rabbit food.	contradiction
164	Are you able to boot your Windows in Safe Mode?	I can't get it to boot.	contradiction
165	You have broken wires or loose connectors in your display lid. This is causing your display to malfunction.	You were totally right, my display lid had a couple of unhinged connectors. Thank you so much for the tip.	neutral
166	Is it in a high crime area?	I think it's pretty safe.	contradiction
167	Did you ever become a surgeon?	I dropped out of med school.	contradiction
168	Do you get the live BIOS splash screen just after you start your computer?	The computer doesn't show a BIOS screen.	contradiction
169	Is the antifreeze level in your overflow tank up to the mark?	I'm checking it now. It's up to the right mark.	entailment
170	Is it close to a subway station?	There's a stop right on the corner.	entailment
171	Do you have a realtor?	I have just found one	entailment
172	Have you got a busy weekend?	I am laying sod in the yard.	entailment
173	Does the laptop's LCD image get scrambled over time, like showing bits of overlayed images?	There aren't any scrambled or overlaid images visible on the LCD screen anytime.	contradiction
174	Have you seen anyone else from back then recently?	It's been too long.	contradiction
175	Did you and Jessica ever end up tying the knot?	I've never been married.	contradiction
176	Do you like Italian food?	I've been craving ravioli.	entailment
177	Does the laptop boot normally and display the Windows Desktop?	I am not seeing Desktop after normal startup actually.	contradiction
178	Looks like your anti-lock braking system is malfunctioning. Please get it checked.	Just wanted to let you know that I took it to the mechanic to get looked at and the ABS were the issue indeed. Got it all fixed and now it works great! Thanks for the advice!	neutral
179	Does the car stop when you apply the brakes?	Yes, it comes to a complete stop.	entailment
180	Do you like to take walks with your dog?	I love to walk her as the sun is setting.	entailment
181	Are you still planning to retire next year?	Ideally.	entailment
182	Is there an open circuit with your car's key in 'run/ON' position?	How can I find out if there is an open circuit?	neutral
183	Would you like a building with a doorman?	I'd have to have one.	entailment
184	Do you play any instruments?	I want to learn the flute	contradiction
185	Is there steaming or leak from the cooling system?	It's not steaming. There don't appear to be any leaks in it either.	contradiction
186	Have you ever been water skiing?	I went about 30 years ago.	entailment
187	Are there any noises when you brake?	I was using my car the other day. I do not hear any noise when I used the brakes to stop. 	contradiction
188	Have you seen the old neighborhood lately?	It's completely fallen apart.	entailment
189	Will you need health insurance?	I can't afford insurance on my own.	entailment
190	Have you hiked any of the local trails?	I shall this weekend.	contradiction
191	Does the car battery reads more than 12 Volts?	Yes, the voltage is greater than 12 volts.	entailment
192	Did you ever play the guitar?	I wish I had.	contradiction
193	Do you like crowds?	If there's a crowd, I won't go.	contradiction
194	Are you driving home now?	I am walking to my car.	entailment
195	Do you want to relax?	Let's go get a massage.	entailment
196	Have you ever read the Harry Potter books?	Only a portion.	entailment
197	Are you quitting because of your boss?	It's time to move on, but due to anyone I work with.	contradiction
198	Is your laptop display rotated 90 degrees or upside-down?	The laptop display is upside-down.	entailment
199	Is it in the same industry?	I'm want to continue to do the same thing, but with a higher pay.	entailment
200	Would you like to come around for dinner?	We have plans tonight.	contradiction
201	Is true crime too scary for you?	I do find it too scary.	entailment
202	Does the laptop boot after removing all external devices such as external keyboard, mouse and printer?	The laptop does not start correctly.	contradiction
203	Are the brakes making squealing noise when you apply them?	Yes, the brakes are making a squealing noise when I use them.	entailment
204	Do you enjoy arts & crafts?	I like making things with my hands.	entailment
205	Would you read military thrillers?	I dont have much spare time for literature.	contradiction
206	Have you tried Ethiopian food?	It was aweful	entailment
207	Want to try something creative?	That would be nice	entailment
208	Have you read the book 'The Secret'?	It's too cheesy for me.	contradiction
209	Do you deal with people all the time?	most of the time	entailment
210	Does it pay more?	I'll take home the same amount.	contradiction
211	Is there an open circuit with your car's key in 'run/ON' position?	I've observed that there isn't any open circuit when the car is running.	contradiction
212	Did the blink code indicate the engine is OK?	When I turned on the engine the codes read that there was a problem with its status.	contradiction
213	Would you like to stay over?	I was planning on it.	entailment
214	Do you like bbq?	I love to bbq	entailment
215	Is the voltage regulator in your car good?	It has topped 14.5V so I don't think it is working.	entailment
216	Are you glad it's Friday?	I'm so happy.	entailment
217	Have you been to college/university?	I didn't know there was one.	contradiction
218	Is there a specific dish that you enjoy?	I love steak and chips.	entailment
219	Do you have any pets?	We have a fish tank.	entailment
220	Are outside activities something you enjoy?	I love strolling through a meadow.	entailment
221	Are there many people who come and go?	They're always hiring new people.	entailment
222	Do you like local cuisine?	It's even better than my last trip.	entailment
223	Would you eat fish?	I'm a vegetarian.	contradiction
224	Can we talk about how your family is doing?	They're doing fine.	entailment
225	Have you taken any big vacations lately?	Not recently I am saving up for one	contradiction
226	Want to grab a coffee/drink?	I'm free right now.	entailment
227	Do you like reading?	I'd prefer to watch movies.	contradiction
228	Is your laptop's fan running when it overheats?	I don't anything that sounds like a running fan.	contradiction
229	Looking forward to a couple days off?	I need a break.	entailment
230	Do you want to do something now?	I need to rest first.	contradiction
231	Do you like movies?	I love going to see films.	entailment
232	Are you into outdoor art?	Some of the huge sculptures at the park are cool.	entailment
233	Do you have a Spotify account?	I don't know what I would do without it.	entailment
234	Are you a frequent visitor to New York?	I come every weekend.	entailment
235	Are you looking for work in the same field?	I think that would be the smart move.	entailment
236	Is there an open circuit with your car's key in 'run/ON' position?	When the car key is in the run/on position there is no open circuit.	contradiction
237	Do you like watching anime?	I wouldn't say I do	contradiction
238	Do you like food that are primarily barbecued?	I like things baked in the oven.	contradiction
239	Would you like to live near Central Park?	Central Park can be very busy	contradiction
240	You still living around here?	Haven't lived here since I got married.	contradiction
241	Did you go to live gigs regularly?	When I have the time.	entailment
242	Is the coolant flowing through the radiator?	I can't see a healthy flow of coolant through the radiator.	contradiction
243	Do you work in Tech?	I have been in that field 2 years now.	entailment
244	Do you eat fish?	I like sushi a fair bit.	entailment
245	Do you need a separate office?	Preferably, as I work from home.	entailment
246	Are you a fan of seafood?	My family is allergic to shellfish so I've never tried it.	contradiction
247	Are you facing a blinker problem such as lamps are not blinking, or it doesnt make the characteristic sound?	The blinker is not working and doesn't make the usual sound either. 	contradiction
248	Do you like fish?	I'm allergic to fish.	contradiction
249	Does the car stall while warm?	No, the vehicle does not stall when it is warm.	contradiction
250	Do you see any of our old friends?	I don't see anyone	contradiction
251	Have you read the latest Stephen King book?	I don't care for him.	contradiction
252	Do you like concerts?	I enjoy a good performance.	entailment
253	Are you a fan of Stephen King?	I love him	entailment
254	Would you ever move back to the old house?	I am so glad to be gone.	contradiction
255	Have you seen the nutcracker yet?	I forgot all about it.	contradiction
256	Do you like the Dave Matthews Band?	I hate that band.	contradiction
257	Are you going straight to your home?	I think so	entailment
258	When you start the laptop, do you see the splash screen with the Windows logo?	I can see that come up right after i turn it on.	entailment
259	Want to have a BBQ this weekend?	I'll make macaroni salad.	entailment
260	Do you work long hours?	I do at times	entailment
261	Do you have any interest in going bowling this weekend?	I'm not interesting in bowling.	contradiction
262	Have you got roommates?	Living alone is essential to my personal happiness.	contradiction
263	Do you want to crash at my place?	that would be good	entailment
264	Is fuel getting to the last fuel filter in line?	No, i do not know how to check if the fuel is getting to the last filter.	neutral
265	Are you watching any new TV shows?	I am enjoying the crown.	entailment
266	Have you ever rafted the Ocoee?	I have heard about it.	contradiction
267	Want to try a trendy new place?	A cool new place to eat would be interesting.	entailment
268	Does one or more wheels drag too much?	There is a dragging issue with one or more of the wheels.	entailment
269	Does the engine fire on turning the key?	No, the engine does not start when i try to start my car.	contradiction
270	Are your parents still living in the area?	My parents passed away.	contradiction
271	Do you have a working rescue CD?	What does a rescue CD do?	neutral
272	Have you ever read Dean Koontz?	I have tried a few.	entailment
273	Have you seen the old neighborhood lately?	Not in a few years.	contradiction
274	Will you be required to relocate?	It would be at another branch.	entailment
275	Did you have a good journey?	Considering there were a couple of delays, it was enjoyable.	entailment
276	When the power supply is connected to the laptop, does the power LED flicker?	I don't understand. Why would it possibly flicker?	neutral
277	Is there an open circuit with your car's key in 'run/ON' position?	I am not seeing any kind of open circuit anywhere in the run/ON position.	contradiction
278	Would you go to a football game with me?	I'd rather see a baseball game instead.	contradiction
279	Have you seen the new Star Wars movie yet?	The last movie I saw was Return of the Jedi.	contradiction
280	Will you be using public transportation?	I'll be taking the train since it's more convenient.	entailment
281	Have you been downtown to any of the museums?	I have not been to a museum in many years	contradiction
282	Would you like to join the rally this weekend?	Sounds like fun	entailment
283	Do you like illustrations?	Pictures make a book more interesting.	entailment
284	Are you leaving as well?	I have to go back and finish up.	contradiction
285	Do you enjoy reading classics?	I like modern novels.	contradiction
286	Is your laptop's fan running when it overheats?	It continues to run while overheating.	entailment
287	Do you work near by?	I just got a job in town.	entailment
288	Do you get a 'No Operating System' message when you start the laptop?	No alert appears on the laptop.	contradiction
289	Have you tried Kayaking?	I only know how to row a rowboat.	contradiction
290	Do you work with a lot of people?	It's a small team.	contradiction
291	Do you have a single lamp failure? It could be a headlight, a taillight, or a blinker.	I checked the lamps in my headlights and taillights. There isn't any lamp issues. 	contradiction
292	You know when you starting your new job?	The date hasn't been set yet.	contradiction
293	Is the brake warning light ON in the dashboard?	No, my dashboard does not have the brake warning light ON.	contradiction
294	Are you into Stephen King?	I wouldn't say that	contradiction
295	Would you enjoy a jazz concert?	Jazz isn't really my thing.	contradiction
296	Does your car have electronic fuel injection?	I checked the manual and the fuel injector and worked it out, I appreciate you helping me, thanks.	entailment
297	Is it similar to your current role?	They both have some similar duties.	entailment
298	Does the car stop when you apply the brakes?	It stopped when I pressed  the brakes.	entailment
299	Do you like murder mystery novels?	Those are never good.	contradiction
300	Are you from Austin?	Somewhere close to Austin	contradiction
301	Would you like to go for some food?	Let's go	entailment
302	Have you graduated yet?	I had to go to work instead.	contradiction
303	Did you play an instrument at school?	You remember me skipping violin lessons.	entailment
304	Aren't you glad it's Friday?	It's my favorite work day!	entailment
305	When the power supply is connected to the laptop, does the power LED flicker?	I do not see any flickering of the power LED.	contradiction
306	Does your Windows boot and display the desktop?	The desktop is displayed after Windows has booted up.	entailment
307	When you start the laptop, do you see the splash screen with the Windows logo?	It is showing that splash screen. I see the Windows logo.	entailment
308	Do you watch romantic movies?	I love rom coms.	entailment
309	Are things okay?	I've never been better.	entailment
310	Is disk golf fun to you?	I've never done it.	contradiction
311	Have you seen the new Netflix series?	I canceled my Netflix subscription.	contradiction
312	Did you ever play in the band in high school?	I played trumpet.	entailment
313	Are the two of you dating now?	All of my relationships have died.	contradiction
314	Are you a vegetarian ?	I eat meat on the weekends.	contradiction
315	Does the laptop BIOS show that the hard drive is installed?	What is the easiest way to check if a hard drive is being detected in BIOS?	neutral
316	Are you using your laptop in a hot environment?	It's used in a cool location.	contradiction
317	Are you a vegan?	I sometimes eat meat.	contradiction
318	Are you into burger and fries?	Mmm, my favorite comfort food.	entailment
319	Do you have friends that live around here?	I wouldn't call them friends, more like acquaintances.	contradiction
320	Does your car have a mechanical distributor?	No, the car does not have any kind of mechanical distributor. 	contradiction
321	Are you living close?	Just outside of town.	entailment
322	Are you into memoirs?	I like reading about people's lives.	entailment
323	Can you eat Indian food when it's spicy?	The spicier it is, the better.	entailment
324	Does it have anything to do with food?	part of it does	entailment
325	Should we check out special events happening in the area during your stay?	I would like to see anything that is happening locally over the next few days.	entailment
326	Do you care about the lyrics at all?	They're the most important part.	entailment
327	Have you tried Asian food before?	I love Thai food and Japanese.	entailment
328	Is the commute long?	It's a short bike ride.	contradiction
329	Have you tried flushing the engine?	I've already flushed the engine.	entailment
330	Are you facing any issue with accessories such as wipers, radio or heater blower?	My heater blower and wipers are working just fine. I can't think of an issue with my other accessories either. 	contradiction
331	Is the neighbourhood good?	I wouldn't buy property here.	contradiction
332	Cut off the connector at the end of the charger and measure the voltage across the exposed ends. Does the voltmeter measure the rated voltage printed on the adapter?	I can see that the voltmeter measurement is not the same as the rated voltage that's printed on the adapter.	contradiction
333	Is the emergency parking brake working properly?	I am checking on the emergency brake now. The emergency brake is not working well. 	contradiction
334	Are you willing to read this book together?	We should start a book club.	entailment
335	Is your favorite food American food?	Indian is my favorite.	contradiction
336	Are you into spicy food?	Spicy foods make me feel sick.	contradiction
337	I understand the issue now. You will have to clean all the air vents of your laptop and replace the active heat sink.	So, where exactly would I find this active heat sink at on my laptop?	neutral
338	Do you enjoy going to festivals?	I prefer listening online.	contradiction
339	Do you mind if we walk to the bar?	Sorry, I can't go drinking tonight.	entailment
340	Are you using your laptop in a hot environment?	The laptop is in a normal setting.	contradiction
341	Do you plan on going home?	That's exactly where I'm going.	entailment
342	Don't you just love the violin sound?	It grates on my nerves.	contradiction
343	Do you like to eat out?	I prefer to stay home and cook my own meals.	contradiction
344	Are you into novels with a complicated plot?	I like something simple.	contradiction
345	Do you like staying busy at work?	I like making real contributions.	entailment
346	Do you have a favorite author?	I really like JK Rowling.	entailment
347	Have you taken a Uber?	Their app was easy to use.	entailment
348	Is fuel getting to the last fuel filter in line?	Where would I find the last filter?	neutral
349	Do you enjoy drum solos?	I prefer guitar solos.	contradiction
350	Does your battery run down in just a few days?	My battery tends to hold charge for long enough time.	contradiction
351	Do you like Indian food?	It gives me digestion problems.	contradiction
352	Would you prefer hardback books?	I prefer ebooks actually.	contradiction
353	Do you like horror books?	I'm not really into scary stuff.	contradiction
354	Does your job have a special skill required?	You need to know HTML.	entailment
355	Do you like rock-n-roll?	It's too loud.	contradiction
356	Do you prefer to be active?	I consider myself to very active.	entailment
357	Do you work?	I'm looking for work.	contradiction
358	Have you tried different ethnic foods?	I tried so many kinds in college.	entailment
359	Are you interested in Kingdom Hearts?	I don't know what you're talking about.	neutral
360	Does the fan turn on when the engine warms up?	Yes, it turns on when the engine is warm.	entailment
361	Is it stressful all the time?	Some days are easy.	contradiction
362	Are you able to boot your Windows in Safe Mode?	What is the simplest way to boot Windows in Safe Mode?	neutral
363	Are you a sports fan?	I don't usually watch sports.	contradiction
364	Do you play sports?	I'm too tired from work.	contradiction
365	The liquid part of 'Liquid Crystal' is leaking out. The only solution is to replace your LCD.	What is the reason that the liquid part of the LCD would leak?	neutral
366	Should we meet up for lunch on Monday?	I can't make Monday.	contradiction
367	Are you renting your place?	I'm waiting to buy a place.	entailment
368	Are you looking in the same field?	This is the industry I want to remain in for the long term.	entailment
369	Can you check if a fusible link has blown?	There is one. It looks like it's blown and completely melted off.	entailment
370	Have you researched flat prices in New York?	I've looked at some online.	entailment
371	Will you be in tomorrow?	I have to go to the doctor.	contradiction
372	Are you a fan of metal?	I'm a headbanger.	entailment
373	Please tell me if your laptop battery is overheating?	The battery in my laptop doesn't get too hot.	contradiction
374	Does your background match up well with the new job?	It seems to	entailment
375	Have you continued doing sports?	When I can find the time.	entailment
376	Does the laptop BIOS show that the hard drive is installed?	The laptop BIOS doesn't indicate the hard drive has been installed.	contradiction
377	Do you have a single lamp failure? It could be a headlight, a taillight, or a blinker.	I checked the lamps in my headlights and taillights. There isn't any lamp issues. 	contradiction
378	Do you play other instruments besides this one?	Only the flute.	contradiction
379	Was your trip ok?	We came first class.	entailment
380	Do you smell antifreeze? It's usually a sweet smell.	I have no idea what is antifreeze.	neutral
381	Do you hear clunks whenever the brakes are applied?	When I apply them I don't hear clunks. It's some other sound.	contradiction
382	Does the laptop BIOS show that the hard drive is installed?	My hard drive is displayed on the screen when I enter the BIOS.	entailment
383	Have you read anything from the NYT bestseller list?	I've read the top 5 of the list.	entailment
384	Have you been to this area before?	I was born and brought up here.	entailment
385	Do you fancy eating sushi?	I'd rather have French food.	contradiction
386	Do you still like emo?	My music tastes have changed to more mellow music.	contradiction
387	Is the DC power jack in the laptop loose or broken?	The jack fits properly into the laptop.  I have no problem with the DC power connection.	contradiction
388	Have you seen the new school library?	The architecture is magnificent.	entailment
389	Is there an open circuit with your car's key in 'run/ON' position?	I checked just now. There's no open circuit with my key in the run/ON position.	contradiction
390	Is classical music your favorite?	Rap is my favorite.	contradiction
391	Do you want to try that new Japanese place?	I've heard it's not great.	contradiction
392	Have you been to Torchys?	Not yet	contradiction
393	Do you want to go see a movie tonight?	Let's see an action film.	entailment
394	Is your laptop's fan running when it overheats?	It turns on when it gets hot.	entailment
395	Are you a fan of comic books	I have never read a comic book	contradiction
396	Do you enjoy cooking or baking?	It isn't something I enjoy.	contradiction
397	Are there things you'd prefer not to eat today?	Pizza and burgers.	entailment
398	I have narrowed down your problem. Either the brake shoes are worn out or there is a fluid leak in the drums.	It was actually the brake shoes, I've taken care of it. Thank you for the help.	neutral
399	Do you enjoy fiction?	I read a lot of science fiction.	entailment
400	Have you ever been skydiving?	Risking my life doesn't particularly appeal to me.	contradiction
401	Have you tried flushing the engine?	I already flushed the engine out.	entailment
402	Did you play an instrument at school?	I played piano	entailment
403	Are we meeting at my house later?	That's the plan.	entailment
404	Did your day go well?	We did great.	entailment
405	Do you have a specific neighborhood in mind?	The Bronx is nice.	entailment
406	Is your coolant temperature warning light ON?	The coolant temperature warning light is flashing.	entailment
407	Do you want to go out to a restaurant?	Do you have anything quick we can eat at home?	contradiction
408	Want to try a new restaurant nearby?	I like to try new food	entailment
